epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,14879.6,0.60274,0.24394,0.00386,0.99873,0.99878,0.99496,0.60113,1.38718,0.35728,0.01523,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,15124.1,0.60376,0.25068,0.00388,0.99903,0.99834,0.99495,0.60166,1.38751,0.35819,0.01523,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,15370.1,0.59548,0.24385,0.00382,0.99861,0.99861,0.99496,0.60134,1.38727,0.3574,0.01523,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,15615.7,0.59201,0.24049,0.0038,0.99867,0.99843,0.99496,0.60059,1.38738,0.35677,0.01523,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,15864.7,0.58432,0.23855,0.00375,0.99855,0.99855,0.99496,0.60182,1.38668,0.35691,0.01522,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,16106,0.58082,0.2367,0.00373,0.99895,0.99873,0.99495,0.60193,1.38632,0.35686,0.01522,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,16346.9,0.57591,0.24092,0.00369,0.99892,0.99891,0.99495,0.60158,1.38616,0.35688,0.01522,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,16585.8,0.57299,0.24209,0.00366,0.99897,0.99881,0.99496,0.60194,1.38617,0.35683,0.01522,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,16826,0.56503,0.23556,0.00362,0.99905,0.99898,0.99496,0.60207,1.38614,0.35722,0.01522,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,17065.8,0.55819,0.23293,0.00357,0.99885,0.99885,0.99496,0.60163,1.38638,0.35796,0.01522,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,17309.6,0.5519,0.22795,0.00352,0.99891,0.9988,0.99496,0.60188,1.3868,0.35809,0.01522,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,17551,0.54729,0.22765,0.00348,0.99846,0.99879,0.99495,0.60124,1.38707,0.35909,0.01523,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,17794.5,0.54029,0.22644,0.00344,0.99828,0.99867,0.99494,0.60227,1.38693,0.35945,0.01523,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,18038.3,0.5376,0.22663,0.00341,0.99861,0.99872,0.99495,0.60256,1.38653,0.35942,0.01522,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,18281.6,0.53485,0.22448,0.00338,0.99759,0.9987,0.99495,0.60205,1.38682,0.3603,0.01523,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,18526.3,0.52686,0.22122,0.00336,0.99893,0.99885,0.99495,0.60116,1.38667,0.36031,0.01523,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,18771,0.52207,0.21776,0.00332,0.99849,0.99927,0.99495,0.60182,1.38692,0.36055,0.01523,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,19016.8,0.51813,0.21927,0.00328,0.99876,0.99861,0.99496,0.60018,1.38721,0.36129,0.01523,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,19263.6,0.51178,0.21857,0.00323,0.99837,0.99906,0.99495,0.59957,1.38773,0.36223,0.01524,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,19509.4,0.50622,0.21697,0.00321,0.99821,0.99879,0.99495,0.59918,1.38797,0.36305,0.01524,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,19757.9,0.50116,0.21583,0.00317,0.99807,0.99883,0.99495,0.59938,1.38762,0.36329,0.01524,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,20006.9,0.49519,0.21147,0.00315,0.99837,0.99897,0.99495,0.59934,1.38719,0.36334,0.01523,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,20253.6,0.49312,0.21155,0.00311,0.99791,0.99855,0.99495,0.59923,1.38705,0.36373,0.01523,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,20503.6,0.48518,0.20998,0.00306,0.99903,0.99846,0.99495,0.59893,1.38687,0.36331,0.01523,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,20752.4,0.48178,0.20933,0.00305,0.99875,0.99861,0.99495,0.59909,1.38699,0.36377,0.01523,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,21002.5,0.47812,0.20656,0.00301,0.99832,0.99891,0.99495,0.59896,1.38689,0.36393,0.01523,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,21252.2,0.47577,0.20536,0.003,0.99756,0.99904,0.99494,0.59941,1.38663,0.36449,0.01522,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,21505,0.47056,0.20305,0.00296,0.99851,0.99843,0.99495,0.59953,1.38648,0.36473,0.01522,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
